x,y,z
123.1954435,833.7480874,0.317647059
100.0602277,656.8811219,0.643137255
223.5336083,359.0356751,0.294117647
570.6551548,506.1986757,0.42745098
532.1859281,727.0295403,0.780392157
479.9342346,279.7233693,0.611764706
156.6152283,403.1000539,0.376470588
471.2448648,340.4545957,0.733333333
611.8223826,879.4586723,0.203921569
331.0536547,556.2679349,0.431372549
333.7775701,836.3115322,0.768627451
632.8931594,522.1529705,0.71372549
327.4594256,732.1412523,0.741176471
558.8542638,434.8128098,0.6
606.4399544,724.0789072,0.725490196
443.4802874,868.4734985,0.701960784
274.3332812,218.2234713,0.62745098
453.511092,864.7136513,0.717647059
565.2556787,405.0390561,0.592156863
372.3654531,751.6397695,0.807843137
510.7685682,525.3686724,0.521568627
197.7037756,309.1352218,0.37254902
167.6777456,570.2327824,0.541176471
662.1441317,848.5033963,0.235294118
421.0911464,661.6714467,0.556862745
541.2360744,500.9325922,0.278431373
151.0772239,851.7786035,0.415686275
387.9631592,611.5427186,0.439215686
624.5523303,683.5213777,0.709803922
252.7484958,914.5431918,0.780392157
601.1702233,478.3502772,0.415686275
234.7386983,548.1198212,0.352941176
619.1101888,611.9288271,0.68627451
645.9690023,583.462838,0.48627451
597.8076595,895.758251,0.196078431
441.8878576,858.4377575,0.764705882
421.7345547,597.2555553,0.364705882
552.2857927,738.0513258,0.768627451
429.5568668,741.7934395,0.709803922
640.9407143,652.7969823,0.666666667
311.4161539,945.4474378,0.4
579.8170093,893.5344,0.211764706
304.3580488,75.81923229,0.615686275
363.2611583,626.4434482,0.435294118
245.3221091,439.1306019,0.337254902
233.2785172,559.1542069,0.403921569
113.3948291,778.9250867,0.635294118
115.8270079,734.501995,0.717647059
146.3988546,441.8720667,0.498039216
290.3185707,558.7743887,0.505882353
292.5596279,155.8792162,0.694117647
209.8523999,194.0793966,0.549019608
246.9436011,624.2570807,0.57254902
309.9843343,515.8466467,0.498039216
194.5690956,568.6026092,0.517647059
394.3502491,653.7752336,0.333333333
514.258176,293.8387784,0.698039216
372.1695374,545.1748274,0.725490196
177.863437,391.6727005,0.478431373
216.0616419,218.4845016,0.474509804
504.3535994,546.4397213,0.521568627
190.3071097,532.6269308,0.384313725
290.201048,106.6317681,0.615686275
480.8901141,491.3985498,0.490196078
405.503288,115.4610256,0.858823529
284.5746938,160.4605113,0.654901961
250.3647089,779.3849204,0.725490196
637.7575007,737.0850237,0.725490196
298.4229176,135.1609872,0.729411765
212.6377179,451.1313681,0.364705882
552.3534369,405.5441034,0.337254902
326.0587651,330.2685512,0.749019608
525.4719843,916.079769,0.756862745
442.5179915,423.3079683,0.611764706
240.3581588,193.6339517,0.6
448.7136535,657.2395691,0.556862745
319.3128722,101.4165146,0.721568627
396.2906913,972.7376683,0.945098039
330.8861891,827.1689563,0.77254902
604.3638709,474.35274,0.643137255
261.8157259,457.5994992,0.415686275
169.7867201,666.1284062,0.615686275
453.0103984,528.1987529,0.568627451
226.1287236,841.6193017,0.666666667
596.1944474,667.194166,0.698039216
216.0805543,197.5983098,0.48627451
252.2290356,457.3983489,0.403921569
489.5721283,695.7656728,0.764705882
383.6880866,683.6561178,0.537254902
173.1370397,572.3679085,0.529411765
394.4973315,589.6708799,0.415686275
476.7250968,133.3881698,0.847058824
474.1625041,905.5207176,0.749019608
377.2887691,430.4030798,0.407843137
215.7662441,589.1088389,0.556862745
478.2090074,149.5119712,0.843137255
296.9909493,287.0824527,0.537254902
368.7873403,71.17281195,0.733333333
624.2162913,494.4493004,0.592156863
503.7685545,231.8277144,0.71372549
247.7070182,809.0993353,0.8
533.0562684,843.1520331,0.611764706
397.3117463,644.6014214,0.309803922
546.5103014,502.6199505,0.290196078
271.1375806,582.8732474,0.51372549
114.6895738,671.7594146,0.650980392
437.3393175,462.0341677,0.564705882
226.1277207,553.1888253,0.431372549
131.222182,854.3790699,0.345098039
665.2951628,829.6741737,0.447058824
378.7774113,352.6645345,0.77254902
325.9980066,319.1733074,0.670588235
517.9532235,842.0954605,0.8
662.1096522,841.2908208,0.156862745
301.0543401,543.033945,0.454901961
470.0461702,546.8574565,0.360784314
